Descricao,Quantidade,TotalVenda
ABECEDARIO DIVERTIDO,6.0,18.0
AGEND ESTUD KIDEN MASC,4.0,59.0
AGENDA 2024 TOK OFFICE,2.0,32.0
AGENDA 2025 A6 LISA RMT1,1.0,14.8
AGENDA 2025 TB PT M6 354,2.0,60.0
AGENDA BROCHURA PEPPER 2,2.0,46.0
AGENDA COSTURADA PEPER P,2.0,46.0
AGENDA ESPIRAL PEPPER FE,2.0,45.0
AGENDA EST KIDEN FEM,3.0,45.0
AGENDA JEANS,5.0,115.0
AGENDA PERM COST PEPPER,1.0,22.0
AGENDA PERMANENTE CLIFF,3.0,63.0
ALFANUMERICO GG 36P5724,3.0,51.0
ALMOFADA CARIMBO N3 AZUL,7.0,91.0
ALMOFADA CARIMBO N3 PRET,5.0,65.0
ALMOFADA CARIMBO N3 VERM,1.0,13.0
ALUGA-SE TAMOIO,37.0,22.0
APAGADOR BRW PAST,1.0,10.0
APAGADOR MAD QUADRO NEGR,1.0,9.8
APAGADOR PARA Q BRANCO,1.0,10.0
APONTADOR C DEPOSITO LEO,11.0,22.0
APONTADOR COM DEPOSITO F,18.0,104.4
APONTADOR LEO LEO BLOCO,17.0,32.0
APONTADOR SIMPLES 637 CI,1.0,0.6
APONTADOS C DEP BRW,20.0,20.0
APRENDA EM CASA LETRA CU,10.0,30.0
ARQ MORTO POLIONDA FACIL,6.0,60.0
BARBANTE ALGODAO 550M VO,2.0,52.0
BINGO TAMOIO 100F,1.0,4.5
BLOCO ADESIVO 76X76,2.0,12.0
BLOCO ADESIVO MAE,1.0,12.5
BLOCO ANOTACAO HA41401,1.0,9.5
BLOCO DE ANOTACAO NOTE F,12.0,102.8
BLOCO PEDIDO S COPIA1X36,41.0,100.0
BOBBIE GOODS AZUL,2.0,112.5
BOBBIE GOODS ROSA,2.0,112.5
BOBINA SIFLER 80X40,13.0,102.7
BOBINA TERMICA PDV SILVE,17.0,77.4
BOLA DE ISOPOR 100MM,9.0,46.1
BOLA DE ISOPOR 35MM,5.0,3.5
BOLSA,1.0,12.5
BOLSA SUPERBAT MI41411,1.0,70.0
BORRACHA BCA 60 LEO LEO,29.0,14.5
BORRACHA BRANCA GRANDE F,4.0,32.0
BORRACHA DIVERTIDA FANTA,6.0,12.0
BORRACHA FABER CASTELL T,106.0,446.8
BORRACHA HE40710 INTER P,58.0,116.0
BORRACHA LEO LEO COLOR,2.0,3.4
BORRACHA MC PRETA,12.0,36.0
TOTALIZACAO,502.0,2627.8
BORRACHA MC TR OVAL SORT,4.0,11.2
BORRACHA MERCU CLEAN COR,2.0,5.0
BORRACHA MERCUR 40 QUADR,28.0,35.0
BORRACHA MERCUR CLEAN CO,14.0,32.0
BORRACHA MERCUR CLEAN CO,17.0,42.0
BORRACHA MERCUR DELTA,14.0,37.7
BORRACHA MERCUR DUAS COR,30.0,39.0
BORRACHA MIX POUCO FAREL,11.0,33.0
BORRACHA PONTEIRA MERCUR,61.0,21.95
BORRACHA TR18,4.0,12.8
BRINCANDO COM OS ANIMAIS,1.0,13.0
BRINCANDO DE COLORIR,43.0,86.0
CAD 1X4 BROC JAND FEM 48,3.0,22.5
CAD BRAC UNIV CD 96FWOOF,4.0,54.0
CAD BROC UNIV CD COST 96,6.0,87.0
CAD BROC UNIV CD WANDERL,3.0,42.0
CAD CART BASIC ART CD 96,3.0,52.5
CAD CD 1X4 96F AZUL JAND,4.0,31.2
CAD CD 1X4 FAST 200F,10.0,140.0
CAD CD 1X8 LIBERTY 80F,9.0,80.0
CAD CD 1X8 STELLA 80F,2.0,14.0
CAD CD 4 ELEMENTOS 20M 3,4.0,176.0
CAD CD 96 F JANDAIA VERM,3.0,23.4
CAD CD 96F AMA JAND,3.0,23.4
CAD CD ACT 20M 320F,5.0,200.0
CAD CD ARMY 12M 192F,6.0,150.0
CAD CD ARMY MASK 20M 320,10.0,390.0
CAD CD BEE 15 MAT 300F,1.0,41.0
CAD CD BICYCLES 1M 80F,8.0,96.0
CAD CD BRASI 15 300F,3.0,102.0
CAD CD BROC 48F PRETO,7.0,66.5
CAD CD BROC 96F VERD,4.0,51.6
CAD CD BROC INIV HURRAC,2.0,27.6
CAD CD BROC UNIV  96F FU,2.0,29.6
CAD CD BROC X FOTO 1M 80,4.0,56.0
CAD CD CART CLIFF 80F,6.0,90.0
CAD CD CART FAST 48F,13.0,130.0
CAD CD CART FAST RACE 80,2.0,35.0
CAD CD CART PET 80F,1.0,17.5
TOTALIZACAO,915.0,5784.05
CAD CD CARTO FADAS 80F,5.0,135.0
CAD CD CARTO STONE 80F,4.0,70.0
CAD CD CARTOG PETIT 80F,3.0,67.5
CAD CD CIFF FEM 15M 240F,2.0,71.0
CAD CD CLIF FEM 1M 8OF,4.0,52.0
CAD CD CLIF FEM 20M 320F,3.0,128.0
CAD CD CLIF MASC 80F 1M,8.0,104.0
CAD CD ESP 1X4 NATURE 96,4.0,39.2
CAD CD FLOWERS 10M 140F,13.0,221.0
CAD CD FLOWERS 12M 168F,13.0,253.5
CAD CD FLOWERS 15M 210F,13.0,336.0
CAD CD FLOWERS 20 MAT 28,16.0,496.0
CAD CD FURRY BEARS 12M 2,2.0,69.0
CAD CD GAME 10M 160F,2.0,45.0
CAD CD GAME 20M 320F,5.0,200.0
CAD CD JEANS WORLD 15M 2,1.0,26.0
CAD CD KBOM FEM 20M 400F,3.0,150.0
CAD CD LIKE IT 1M 80F,6.0,78.0
CAD CD MASK 12M 192F WAR,7.0,182.0
CAD CD MASK 12M 192FLS F,9.0,225.0
CAD CD MASK AMOR 20M 320,5.0,200.0
CAD CD MASK FEMME 20M 32,4.0,160.0
CAD CD MASK WARRIOR 10 M,3.0,69.0
CAD CD MASK WAY 20M 320F,10.0,400.0
CAD CD MAXCAR 12 MAT 168,6.0,114.0
CAD CD MAXCARS 15M 210F,2.0,46.0
CAD CD NATURE 15M 210F,1.0,23.5
CAD CD PAPILIO 80F 1 MAT,3.0,69.0
CAD CD PET 1 MAT 80F,7.0,84.0
CAD CD POP COLLECTION 10,13.0,325.0
CAD CD SKATE 1M 80F,3.0,34.5
CAD CD STITCH 10M 160F,3.0,216.0
CAD CD SUPER CHIC 15M 30,1.0,42.0
CAD CD SUPER CHIC 20M 40,3.0,156.0
CAD CD VD UNIV 48F TILIB,1.0,9.5
CAD CD WAY 1M 80F,4.0,54.0
CAD CD WAY MASK 12M 192F,5.0,125.0
CAD CD WOOF 1M 80F,8.0,96.0
CAD CD X-ANIMAL 12M 168F,4.0,80.0
CAD CD X-SURFING 12M 168,1.0,20.0
CAD CD X ANIMAL 10M 140F,1.0,18.5
CAD CD X MOTO 10M 140F,10.0,195.0
CAD CD XPHOTO 12M 168F,2.0,40.0
CAD CD XPICKUP 20M 280F,1.0,34.0
CAD CD XSURFING 10M 140F,1.0,17.0
CAD CD XSURFING 15M 210F,9.0,216.0
CAD CD XTREME 12M 240F,2.0,55.0
CAD CD4 96F PRET,5.0,40.0
CAD CDKBOM FEM 15M 300F,4.0,144.0
TOTALIZACAO,1162.0,11843.25
CAD CDNATURE 12M 168F,6.0,114.0
CAD DESENHO ESP 40F,3.0,16.5
CAD ESPIRAL 1X4 96F BRAS,19.0,114.0
CAD MEIA PAUT 40F MNO,1.0,16.0
CADER CALIGRAFI 3,2.0,7.4
CADER CD BRASILI 20 M,1.0,41.0
CADER CD MAXCARS 10M,9.0,162.0
CADERN C D1X8 DISNEY,3.0,28.5
CADERNETA CD BLACK ON WH,3.0,29.4
CADERNETA FASHION WOLD C,1.0,9.5
CADERNETA WEST VILLAGE 1,1.0,12.5
CADERNO 10 MAT 140FLS BI,6.0,102.0
CADERNO 10MAT 140FLS NAT,6.0,102.0
CADERNO 10MAT 160FLS ACT,1.0,22.5
CADERNO 1MAT GIRL 80FLS,1.0,11.0
CADERNO 20MAT SPORT,1.0,40.0
CADERNO 96F AZU CD TILIB,12.0,158.0
CADERNO BRASILI 1X4 48F,66.0,231.0
CADERNO BROCHURA CAPA DU,1.0,13.9
CADERNO C D BRACHURAO VE,5.0,64.1
CADERNO CAPA DURA STIFF,2.0,15.0
CADERNO CARTO FLEX 96F,6.0,81.0
CADERNO CD 10MAT 140FLS,7.0,126.0
CADERNO CD 10MAT 140FLS,2.0,39.0
CADERNO CD 10MAT 160FLS,1.0,22.5
CADERNO CD 10MAT 160FLS,9.0,198.0
CADERNO CD 10MAT 160FLS,5.0,112.5
CADERNO CD ACT 15M 240F,1.0,32.0
CADERNO CD ACT 1M 80F JA,2.0,27.0
CADERNO CD ARMT 15M 240F,4.0,128.0
CADERNO CD ARMY 1M 80F J,6.0,81.0
CADERNO CD BROCH PRE 96,5.0,64.0
CADERNO CD FAST 15M 240F,5.0,160.0
CADERNO CD FAST 20M 320F,8.0,320.0
CADERNO CD FEMME 15M 240,4.0,120.0
CADERNO CD FEMME 1M 80F,7.0,94.5
CADERNO CD GAMER 15M 240,4.0,128.0
CADERNO CD GIRL 1M 80F J,12.0,162.0
TOTALIZACAO,1461.0,15689.05
CADERNO CD MAXICARS IM 8,17.0,204.0
CADERNO CD NATURE 1M 80F,5.0,55.5
CADERNO CD PRETO  1X4  4,8.0,50.4
CADERNO CD X MOTO 12M 16,5.0,100.0
CADERNO CD XPICKUP 15M 2,1.0,24.0
CADERNO DE DESENHO CARTO,6.0,39.0
CADERNO DE MUSICA 40F,3.0,24.0
CADERNO MAXICARS CD BRO,3.0,40.5
CADERNO PEQ TURM DO JAND,4.0,12.0
CADERNO UNIV 48FLS RS,4.0,40.0
CADERNO UNIV CD 96FLS LI,3.0,42.0
CADERNO UNIV. PERFIL 10X,4.0,60.0
CADERNO UNIV. PERFIL 6X1,2.0,23.0
CADERNO UNIV. PERFIL 8X1,1.0,13.0
CADERNOA CD 10MAT FAST 1,5.0,112.5
CADRENO CD FAST 1M 80F J,12.0,162.0
CALIGRAFIA DIVERTIDA LET,7.0,28.0
CALIGRAFIA DIVERTIDA NUM,3.0,11.7
CAN GEL MOLIM METALICA P,3.0,24.0
CANETA BIC CELEBRATIO PR,3.0,20.1
CANETA BIC CELEBRATION A,17.0,113.9
CANETA BIC CRISTAL 1.6 P,52.0,114.4
CANETA BIC CRISTAL AZ,486.0,585.2
CANETA BIC CRISTAL PRETA,353.0,423.6
CANETA BIC CRISTAL ULTRA,59.0,100.3
CANETA BIC CRISTAL ULTRA,50.0,86.7
CANETA BIC CRISTAL ULTRA,9.0,15.3
CANETA BIC CRISTAL UP SO,5.0,10.0
CANETA BIC CRISTAL VERDE,39.0,46.8
CANETA BIC CRISTAL VERME,98.0,117.6
CANETA BIC SHIMMERS FASH,30.0,68.4
CANETA COMPACTOR  07 VER,16.0,22.4
CANETA COMPACTOR 07 AZUL,33.0,38.4
CANETA COMPACTOR 07 PRET,13.0,15.6
CANETA COMPACTOR 07 VERM,2.0,2.4
CANETA COMPACTOR ECONOMI,95.0,95.0
CANETA COMPACTOR MICROLI,26.0,130.0
CANETA COMPACTOR MICROLI,9.0,44.0
CANETA COMPACTOR MICROLI,7.0,35.0
CANETA COMPACTOR MICROLI,2.0,10.0
CANETA ESFEROGRAFICA PIL,1.0,9.8
TOTALIZACAO,3038.0,19085.95
CANETA ESFEROGRAFICA PRE,2.0,18.5
CANETA HIDROGRAFICA LEO,2.0,17.6
CANETA MOLIN  GEL NET OU,1.0,8.0
CANETA PILOT FINE PRE 07,31.0,117.5
CANETA PILOT MEDIA AZUL,33.0,123.9
CANETA PILOT MEDIA VERM,7.0,26.6
CANETA TRILUX AZUL FABER,9.0,14.4
CANETA UNICORNIO,1.0,8.5
CANETE CIS SPIRO 07MM SO,243.0,927.3
CANTETA BIC F ENEM,61.0,61.0
CARBONO PARA MANUSCRITO,136.0,103.9
CARBONO PARA MAQUINA PRE,63.0,47.25
CARNE GPS SIDGRAPH,47.0,254.8
CART PR  DUP EST 09,3.0,6.0
CART PR DUP ESTAMP 27,1.0,2.0
CARTOLINA COLOR SET CORE,621.0,993.6
CARTOLINA GUACHE BRILHO,3.0,8.1
CARTOLINA LAMINADO CORES,17.0,50.8
CARTOLINA PR BCA CARTAZ,41.0,82.0
CHAMEQUINHO A4 100F AMA,3.0,36.0
CHAMEQUINHO A4 100F BCO,91.0,764.4
CHAMEQUINHO A4 100F ROS,4.0,48.0
CHAMEQUINHO A4 100F VED,1.0,12.0
CLIPES CRACHA,11.0,13.2
CLIPS ACC  MINI COLOR,1.0,6.9
COL COLOR KOALA 25G,9.0,22.5
COLA BAST TRIS 10G,1.0,4.0
COLA BASTAO 10G LE0 LE0,49.0,122.5
COLA BASTAO 21G LEOLEO,11.0,33.0
COLA BASTAO BAZZE 10G,13.0,32.5
COLA BASTAO SCOT COMPAC,9.0,58.8
COLA BRANCA KOALA 1KG,4.0,100.0
COLA BRANCA KOALA 500G,8.0,108.0
COLA BRANCA MAX COLA 90G,8.0,28.0
COLA COALA 40G,97.0,213.4
COLA COLOR GLITE KOALA 2,6.0,18.0
COLA DO ARTESAO,3.0,29.4
COLA EM BASTAO FABER CAS,4.0,35.6
COLA ESC BAST TRIS 40G,5.0,57.5
COLA ESC GLITER ACRILEX,1.0,6.7
COLA ESC GLITER ACRILEX,2.0,12.6
COLA ESC GLITER ACRILEX,2.0,13.4
COLA GLITER KOALA 25G,3.0,9.0
COLA ISOPOR COALA EVA 40,27.0,108.0
TOTALIZACAO,4778.0,24093.6
COLA ISOPOR EVA 40G QUIN,10.0,40.0
COLA ISOPOR EVA KOALA 90,27.0,210.6
COLA QUENTE BASTAO FINO,499.0,499.0
COLA TEKBOND 20G MOVELEI,1.0,16.2
COMPASSO TRIS,2.0,19.0
CONHECENDO AS VOGAIS 2,3.0,9.0
CONJ DES 2 GRAU WALEU,1.0,8.5
CONPACTOR HIDROGRAFICO C,2.0,27.0
CONTRATO DE LOCACAO ANIM,66.0,66.0
CORRETIVO BIC A BASE DE,57.0,239.4
CORRETIVO CANETA 6ML GOL,9.0,67.5
CORRETIVO CANETA RADEX,2.0,9.0
CORRETIVO FITA MASTER,10.0,50.0
CORRETIVO MERCUR A BASE,24.0,93.2
CORRETIVO TOQUE MAGICO,34.0,163.2
CRACHA HORIZONTAL ACP,7.0,14.0
CRACHA VERTICAL,2.0,2.5
CRTAZ VENDE SIDGRAF,13.0,7.8
CRUZADINHA DE VOGAIS,1.0,3.0
DESCOBRINDO O MUNDO CAO,3.0,22.5
DESCOBRINDO O MUNDO COEL,2.0,15.0
DESCOBRINDO O MUNDO ELEF,3.0,22.5
DIARIO C CADEADO 48F FRU,2.0,50.0
DIARIO HA78413,2.0,52.0
DIARIO MERMAID,1.0,23.0
DIVERSAO PELO MUNDO,1.0,13.0
DUREX EMPAC QUALITAPE 48,2.0,13.8
DUREX FIT PEL  12X10,92.0,92.0
DUREX FITIPEL 25X50,6.0,28.8
DUREX FITPEL 12MMX20M TR,39.0,62.4
DUREX FITPEL 45MM X 40,16.0,96.0
DUREX QUALITAPE 24X50,18.0,90.0
DUREX TRANS MAIS 40X40,2.0,12.0
DUREX TRANSP 18X50,2.0,14.0
DUREX TRANSP 5802 45MMX4,52.0,494.0
ELASTICO 200,2.0,26.0
ELASTICO MERCUR 100UND S,17.0,132.2
ELASTICO MERCUR 120UND S,1.0,10.7
ELASTICO MERCUR 60UND ST,30.0,194.2
ENVELO BRANCO 26X36,8.0,9.6
ENVELOPE 16X22 SOF 323,21.0,10.5
ENVELOPE 31X41,6.0,9.6
ENVELOPE 37X47,10.0,18.0
ENVELOPE 75G BRANCO 162X,100.0,60.0
ENVELOPE BRANCO 22X32,172.0,147.2
ENVELOPE CARTA,79.0,23.7
TOTALIZACAO,6498.0,27530.0
ENVELOPE CARTA 11X16 SRP,297.0,59.5
ENVELOPE CARTA 14X16 SCR,56.0,42.0
ENVELOPE CARTA 7X10CM SC,15.0,6.0
ENVELOPE GRANDE 162X229,49.0,49.0
ENVELOPE KRAFT OURO 11X1,14.0,4.2
ENVELOPE OFICIO 11X22 SR,36.0,10.8
ENVELOPE SACO KRAFT 162X,23.0,11.5
ENVELOPE SACO KRAFT NAT,2.0,1.2
ENVELOPE SACO OURO 22X32,362.0,289.6
ENVELOPE VISITA 72X108MM,69.0,27.6
ESCOLINHA 365 ATIVIDADES,2.0,33.0
ESPETO PARA PAPEL ACC,4.0,56.0
ESTILETE 18MM,18.0,68.4
ESTILETE CIS GRANDE,9.0,52.2
ESTOJO ESCOLAR CAMUFLADO,6.0,82.8
ESTOJO ESCOLAR TOKHOUSE,3.0,21.0
ESTOJO INFANTIL POLIESTE,5.0,102.0
ETIQUETA MANUAL OURO,13.0,21.5
ETIQUETA MANUAL PRATA,2.0,3.2
ETIQUETA MX21X12,34.0,95.2
ETIQUETA PIMACO 6181,2.0,3.4
ETIQUETA PIMACO A 4262 C,12.0,20.4
ETIQUETA RT-4 12X25 M,1.0,11.5
ETIQUETA RT-5 TARJADINHA,1.0,14.8
